id,explanation_label,num_chunk_facts,num_expl_facts,coverage,logic_label
5a8138c155429938b6142300,correct,3,4,0.0,incorrect
5a8138c155429938b6142300,incomplete,3,3,0.0,incorrect
5a8138c155429938b6142300,incorrect,3,4,0.0,incorrect
5a8353935542996488c2e40f,correct,4,5,0.5,incomplete
5a8353935542996488c2e40f,incomplete,4,3,0.25,incorrect
5a8353935542996488c2e40f,incorrect,4,3,0.0,incorrect
5ade8f2d5542992fa25da7c9,correct,14,4,0.0,incorrect
5ade8f2d5542992fa25da7c9,incomplete,14,3,0.0,incorrect
5ade8f2d5542992fa25da7c9,incorrect,14,3,0.0,incorrect
5ae533d75542992663a4f15c,correct,4,3,0.0,incorrect
5ae533d75542992663a4f15c,incomplete,4,3,0.0,incorrect
5ae533d75542992663a4f15c,incorrect,4,3,0.0,incorrect
5a762c895542992d0ec0604a,correct,3,6,0.0,incorrect
5a762c895542992d0ec0604a,incomplete,3,4,0.0,incorrect
5a762c895542992d0ec0604a,incorrect,3,2,0.0,incorrect
5a8bef395542995d1e6f146a,correct,2,3,0.0,incorrect
5a8bef395542995d1e6f146a,incomplete,2,2,0.0,incorrect
5a8bef395542995d1e6f146a,incorrect,2,5,0.0,incorrect
5a8c5107554299653c1aa03a,correct,0,3,0.0,incorrect
5a8c5107554299653c1aa03a,incomplete,0,3,0.0,incorrect
5a8c5107554299653c1aa03a,incorrect,0,5,0.0,incorrect
5adbf9d855429947ff173882,correct,2,2,0.5,incomplete
5adbf9d855429947ff173882,incomplete,2,2,0.0,incorrect
5adbf9d855429947ff173882,incorrect,2,2,0.0,incorrect
5ae12ffa5542997b2ef7d120,correct,4,3,0.0,incorrect
5ae12ffa5542997b2ef7d120,incomplete,4,3,0.0,incorrect
5ae12ffa5542997b2ef7d120,incorrect,4,2,0.25,incorrect
5a875ce15542993e715abf16,correct,2,4,0.0,incorrect
5a875ce15542993e715abf16,incomplete,2,2,0.0,incorrect
5a875ce15542993e715abf16,incorrect,2,2,0.0,incorrect
5a7e41c2554299495941994e,correct,5,3,0.0,incorrect
5a7e41c2554299495941994e,incomplete,5,3,0.0,incorrect
5a7e41c2554299495941994e,incorrect,5,3,0.0,incorrect
5ac2604a55429951e9e6858f,correct,8,4,0.5,incomplete
5ac2604a55429951e9e6858f,incomplete,8,4,0.0,incorrect
5ac2604a55429951e9e6858f,incorrect,8,3,0.0,incorrect
5ac24c435542992f1f2b3839,correct,6,4,0.0,incorrect
5ac24c435542992f1f2b3839,incomplete,6,3,0.0,incorrect
5ac24c435542992f1f2b3839,incorrect,6,2,0.0,incorrect
5a7f87575542994857a76768,correct,2,3,0.5,incomplete
5a7f87575542994857a76768,incomplete,2,2,0.5,incomplete
5a7f87575542994857a76768,incorrect,2,2,0.0,incorrect
5a7522aa5542996c70cfae93,correct,3,3,0.6666666666666666,correct
