id,explanation_label,num_chunk_facts,num_expl_facts,coverage,logic_label
5a8138c155429938b6142300,correct,4,2,0.0,incorrect
5a8138c155429938b6142300,incomplete,4,4,0.0,incorrect
5a8138c155429938b6142300,incorrect,4,2,0.0,incorrect
5a8353935542996488c2e40f,correct,6,4,0.0,incorrect
5a8353935542996488c2e40f,incomplete,6,3,0.0,incorrect
5a8353935542996488c2e40f,incorrect,6,5,0.0,incorrect
5ade8f2d5542992fa25da7c9,correct,15,4,0.0,incorrect
5ade8f2d5542992fa25da7c9,incomplete,15,2,0.0,incorrect
5ade8f2d5542992fa25da7c9,incorrect,15,3,0.0,incorrect
5ae533d75542992663a4f15c,correct,5,3,0.0,incorrect
5ae533d75542992663a4f15c,incomplete,5,4,0.2,incorrect
5ae533d75542992663a4f15c,incorrect,5,3,0.0,incorrect
5a762c895542992d0ec0604a,correct,2,3,0.0,incorrect
5a762c895542992d0ec0604a,incomplete,2,2,0.0,incorrect
5a762c895542992d0ec0604a,incorrect,2,3,0.0,incorrect
5a8bef395542995d1e6f146a,correct,3,3,0.0,incorrect
5a8bef395542995d1e6f146a,incomplete,3,3,0.0,incorrect
5a8bef395542995d1e6f146a,incorrect,3,3,0.0,incorrect
5a8c5107554299653c1aa03a,correct,12,3,0.0,incorrect
5a8c5107554299653c1aa03a,incomplete,12,2,0.0,incorrect
5a8c5107554299653c1aa03a,incorrect,12,3,0.0,incorrect
5adbf9d855429947ff173882,correct,2,2,0.0,incorrect
5adbf9d855429947ff173882,incomplete,2,2,0.0,incorrect
5adbf9d855429947ff173882,incorrect,2,2,0.0,incorrect
5aba934d554299232ef4a33a,correct,3,3,0.0,incorrect
5aba934d554299232ef4a33a,incomplete,3,4,0.0,incorrect
5aba934d554299232ef4a33a,incorrect,3,3,0.0,incorrect
5ae12ffa5542997b2ef7d120,correct,5,4,0.0,incorrect
5ae12ffa5542997b2ef7d120,incomplete,5,3,0.0,incorrect
5ae12ffa5542997b2ef7d120,incorrect,5,2,0.0,incorrect
5a875ce15542993e715abf16,correct,3,3,0.0,incorrect
5a875ce15542993e715abf16,incomplete,3,3,0.0,incorrect
5a875ce15542993e715abf16,incorrect,3,2,0.0,incorrect
5ac2604a55429951e9e6858f,correct,5,9,0.0,incorrect
5ac2604a55429951e9e6858f,incomplete,5,3,0.0,incorrect
5ac2604a55429951e9e6858f,incorrect,5,5,0.0,incorrect
5ac24c435542992f1f2b3839,correct,6,6,0.0,incorrect
5ac24c435542992f1f2b3839,incomplete,6,0,0.0,incorrect
5ac24c435542992f1f2b3839,incorrect,6,4,0.0,incorrect
5a7f87575542994857a76768,correct,3,3,0.0,incorrect
5a7f87575542994857a76768,incomplete,3,3,0.0,incorrect
